                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6565,                 5.4399,                 4.2674,                0.00139,                0.31944,                0.00445,                0.00125,                 3.0988,                  5.566,                 4.1547,                0.00034,                0.00034,                0.00034
                      2,                   3.49,                 4.8275,                  4.188,                0.00131,                0.30556,                0.00576,                0.00156,                 3.0803,                 5.4853,                 4.1416,               0.000469,               0.000469,               0.000469
                      3,                 3.4622,                 4.7147,                 4.1495,                0.00127,                0.30556,                0.00905,                0.00329,                 3.0642,                   5.27,                  4.123,              0.0003604,              0.0003604,              0.0003604
