                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3201,                 4.2612,                 4.1536,                 0.0021,                0.36607,                0.00223,                0.00086,                 3.5354,                 5.4422,                 4.2142,             0.00054872,             0.00054872,             0.00054872
                      2,                 3.0389,                 3.8712,                 3.6864,                0.01544,                0.01786,                0.00357,                0.00078,                 3.2784,                 8.5902,                 3.7848,              0.0011007,              0.0011007,              0.0011007
                      3,                 2.9058,                 3.7049,                 3.4138,                0.00053,                0.38393,                0.00038,                0.00012,                 3.1743,                  151.4,                 3.6327,              0.0016491,              0.0016491,              0.0016491
                      4,                 2.8323,                  3.577,                 3.2636,                0.00438,                0.33929,                0.00315,                0.00081,                 3.0825,                 13.447,                 3.4882,              0.0016505,              0.0016505,              0.0016505
                      5,                 2.7448,                 3.4449,                 3.1839,                0.02191,                0.15179,                0.01072,                0.00315,                 2.9394,                 8.2041,                 3.2913,              0.0016505,              0.0016505,              0.0016505
                      6,                 2.6463,                 3.3592,                 3.0807,                0.00613,                0.09821,                0.00335,                0.00084,                 2.9753,                 5.7612,                 3.3931,               0.001645,               0.001645,               0.001645
                      7,                 2.5402,                  3.295,                 3.0092,                 0.0091,                0.47321,                0.00811,                 0.0021,                 2.5505,                 5.3247,                 3.0151,              0.0016395,              0.0016395,              0.0016395
                      8,                 2.4197,                 3.1958,                 2.8627,                 0.0158,                0.36607,                0.01311,                 0.0041,                 2.3973,                 5.8912,                 2.8692,               0.001634,               0.001634,               0.001634
                      9,                 2.3587,                 3.0516,                  2.754,                0.03658,                 0.0625,                0.01416,                0.00461,                  2.399,                 4.8402,                 2.7811,              0.0016285,              0.0016285,              0.0016285
                     10,                 2.2346,                 3.0555,                 2.6711,                0.02414,                0.14286,                0.01397,                 0.0048,                  2.508,                 6.5603,                  2.876,               0.001623,               0.001623,               0.001623
                     11,                 2.1955,                 2.9494,                  2.592,                0.03171,                0.16071,                0.01661,                0.00559,                 2.2751,                 6.3154,                 2.6988,              0.0016175,              0.0016175,              0.0016175
                     12,                  2.145,                 2.8553,                 2.5391,                0.07007,                0.16964,                0.03631,                0.01201,                 2.3645,                 4.2813,                 2.7196,               0.001612,               0.001612,               0.001612
                     13,                 2.1112,                 2.8246,                 2.4936,                0.07837,                0.24107,                0.04143,                 0.0164,                  2.225,                  4.445,                 2.6373,              0.0016065,              0.0016065,              0.0016065
                     14,                 2.0674,                 2.7248,                 2.4493,                0.05101,                0.17857,                0.02855,                0.01136,                 2.2065,                 4.4267,                 2.5864,               0.001601,               0.001601,               0.001601
                     15,                 2.0011,                 2.6819,                 2.3836,                0.05463,                0.13393,                0.02687,                0.00975,                 2.1658,                 5.3309,                 2.6251,              0.0015955,              0.0015955,              0.0015955
                     16,                 1.9634,                 2.6012,                  2.342,                0.06147,                0.11607,                0.03548,                0.01462,                 2.1527,                 5.7102,                 2.5002,                0.00159,                0.00159,                0.00159
                     17,                 1.9303,                 2.5985,                 2.3047,                0.08518,                0.29464,                0.04618,                0.01925,                 2.0942,                 4.0827,                 2.4726,              0.0015845,              0.0015845,              0.0015845
                     18,                 1.9097,                 2.5104,                 2.2782,                0.05688,                0.19643,                0.03617,                0.01378,                 2.1322,                 4.9392,                 2.5494,               0.001579,               0.001579,               0.001579
                     19,                 1.8759,                 2.4733,                 2.2228,                0.12069,                0.22321,                0.05831,                0.02266,                 2.0575,                 4.9937,                 2.4518,              0.0015735,              0.0015735,              0.0015735
                     20,                 1.8517,                 2.4578,                 2.2026,                0.11837,                0.19643,                0.06904,                0.02827,                 2.0421,                 3.6883,                 2.4073,               0.001568,               0.001568,               0.001568
                     21,                 1.8194,                 2.3954,                 2.1677,                0.12153,                   0.25,                0.08068,                0.03489,                  2.008,                 3.8081,                 2.4314,              0.0015625,              0.0015625,              0.0015625
                     22,                 1.8435,                 2.4288,                 2.1899,                 0.1237,                0.23214,                0.07514,                0.03087,                 2.1261,                 4.0498,                 2.4766,               0.001557,               0.001557,               0.001557
                     23,                 1.8021,                  2.323,                 2.1411,                 0.1174,                0.33036,                0.06835,                0.03061,                  1.983,                  3.371,                 2.3693,              0.0015515,              0.0015515,              0.0015515
                     24,                 1.7594,                 2.3216,                 2.1097,                0.12781,                0.30357,                0.08719,                0.03908,                 2.0524,                 4.5054,                  2.329,               0.001546,               0.001546,               0.001546
                     25,                 1.7581,                 2.3489,                 2.1306,                0.10531,                0.24107,                0.06404,                 0.0299,                 2.1024,                 4.5698,                 2.4365,              0.0015405,              0.0015405,              0.0015405
                     26,                 1.7566,                 2.2889,                 2.0602,                0.15792,                0.33929,                0.10769,                 0.0545,                 1.9649,                  3.678,                 2.3141,               0.001535,               0.001535,               0.001535
                     27,                 1.7169,                  2.309,                 2.0486,                0.14888,                0.33036,                 0.0819,                0.03429,                 1.9333,                 3.7765,                 2.3363,              0.0015295,              0.0015295,              0.0015295
                     28,                 1.7467,                 2.2753,                 2.0329,                0.18797,                0.16071,                0.09025,                0.03987,                 1.8753,                 3.4414,                 2.2653,               0.001524,               0.001524,               0.001524
                     29,                 1.7154,                 2.2632,                 2.0655,                0.14462,                0.32143,                0.08839,                0.03544,                 1.9661,                 4.1994,                 2.2822,              0.0015185,              0.0015185,              0.0015185
                     30,                 1.7162,                 2.2063,                 2.0391,                0.17674,                0.23386,                0.10696,                0.04974,                 1.8865,                 3.8356,                 2.2525,               0.001513,               0.001513,               0.001513
                     31,                  1.711,                 2.2185,                 2.0364,                0.14699,                 0.3125,                0.10215,                0.04959,                 1.9104,                 3.9465,                 2.3079,              0.0015075,              0.0015075,              0.0015075
                     32,                 1.7207,                 2.2023,                 2.0383,                0.15691,                0.34821,                0.10751,                0.05424,                  1.857,                 3.4181,                 2.2196,               0.001502,               0.001502,               0.001502
                     33,                 1.6499,                 2.1955,                 1.9713,                0.15083,                0.29464,                0.09609,                0.04706,                 1.8418,                 3.5863,                  2.223,              0.0014965,              0.0014965,              0.0014965
                     34,                 1.6787,                  2.196,                 1.9732,                0.15681,                0.38393,                0.10718,                0.05509,                 1.8246,                 3.3066,                 2.1999,               0.001491,               0.001491,               0.001491
