                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1244,                 2.9207,                 1.5599,                0.57673,                0.15426,                0.05226,                 0.0332,                 1.2035,                 7.2735,                 1.4761,             0.00047073,             0.00047073,             0.00047073
                      2,                 1.2112,                 2.2587,                 1.6193,                0.59509,                0.23404,                 0.0725,                0.04411,                 1.2166,                  5.369,                 1.5038,             0.00094394,             0.00094394,             0.00094394
                      3,                 1.2538,                 2.0692,                 1.6286,                0.56718,                0.21277,                0.06015,                0.03689,                 1.2112,                  4.593,                 1.4664,               0.001414,               0.001414,               0.001414
                      4,                 1.2381,                 1.9196,                  1.591,                0.58438,                0.23936,                0.06879,                0.03955,                 1.3192,                 4.7853,                 1.5669,              0.0014149,              0.0014149,              0.0014149
                      5,                 1.2557,                 1.8977,                 1.6276,                0.57736,                0.23936,                0.07148,                0.04316,                 1.2681,                  3.648,                 1.5283,              0.0014149,              0.0014149,              0.0014149
                      6,                 1.2347,                 1.8105,                 1.6126,                0.57655,                0.25532,                 0.0822,                0.05175,                 1.3591,                 3.9174,                 1.5612,              0.0014101,              0.0014101,              0.0014101
                      7,                 1.2322,                 1.7757,                 1.6071,                0.58834,                 0.1383,                0.06924,                 0.0392,                 1.2913,                 3.7455,                 1.4983,              0.0014054,              0.0014054,              0.0014054
                      8,                 1.2403,                  1.771,                 1.6229,                  0.579,                0.18617,                0.08666,                0.05181,                 1.3664,                 4.7194,                 1.5478,              0.0014007,              0.0014007,              0.0014007
                      9,                 1.2126,                 1.7728,                 1.5832,                0.57456,                0.25532,                0.07491,                0.04833,                 1.3372,                 3.5725,                 1.5228,               0.001396,               0.001396,               0.001396
                     10,                 1.2178,                 1.7229,                 1.5859,                0.60517,                0.12766,                0.08873,                0.05577,                 1.2353,                 3.3726,                 1.4624,              0.0013913,              0.0013913,              0.0013913
                     11,                 1.2231,                 1.7311,                 1.5944,                0.12467,                0.78723,                0.12449,                0.08317,                 1.2824,                 3.5398,                  1.468,              0.0013866,              0.0013866,              0.0013866
                     12,                 1.2083,                 1.6917,                  1.584,                0.59429,                 0.1383,                0.08111,                0.04812,                  1.315,                 3.8482,                 1.4918,              0.0013818,              0.0013818,              0.0013818
                     13,                 1.2585,                 1.7038,                 1.6254,                0.06727,                0.39609,                0.07519,                0.04417,                 1.3546,                 3.7645,                 1.5684,              0.0013771,              0.0013771,              0.0013771
                     14,                  1.222,                 1.6891,                 1.5874,                0.06999,                0.31383,                0.08406,                0.05318,                 1.3093,                 3.6957,                 1.5499,              0.0013724,              0.0013724,              0.0013724
                     15,                 1.1934,                 1.6632,                 1.5731,                0.57444,                0.27128,                0.07152,                0.04482,                 1.3198,                 4.1687,                 1.5632,              0.0013677,              0.0013677,              0.0013677
                     16,                 1.2476,                 1.6664,                 1.6132,                0.08041,                0.80851,                0.09301,                0.05866,                 1.3554,                 4.1715,                 1.5305,               0.001363,               0.001363,               0.001363
                     17,                 1.2243,                 1.6873,                 1.5893,                0.58109,                0.19681,                0.07475,                0.04557,                 1.3752,                 4.0177,                 1.6154,              0.0013583,              0.0013583,              0.0013583
                     18,                 1.1925,                 1.5885,                 1.5672,                0.09623,                0.75532,                0.08403,                0.05149,                 1.3673,                 3.5091,                 1.5792,              0.0013535,              0.0013535,              0.0013535
                     19,                 1.2096,                 1.6347,                  1.592,                0.59368,                 0.1668,                0.10745,                0.07336,                 1.3709,                 3.1956,                 1.6201,              0.0013488,              0.0013488,              0.0013488
                     20,                 1.2044,                 1.6235,                 1.5581,                 0.0802,                0.22764,                0.07956,                0.04821,                 1.2668,                 3.8041,                 1.4707,              0.0013441,              0.0013441,              0.0013441
                     21,                 1.1907,                 1.5937,                 1.5572,                0.61912,                0.14894,                0.08953,                0.05561,                 1.3248,                 3.8374,                 1.5313,              0.0013394,              0.0013394,              0.0013394
                     22,                 1.2098,                 1.6397,                 1.5836,                0.12818,                0.70745,                0.11649,                0.07575,                  1.377,                 3.3477,                  1.548,              0.0013347,              0.0013347,              0.0013347
                     23,                 1.1954,                  1.614,                 1.5748,                0.08662,                0.22872,                 0.0777,                0.04888,                 1.3589,                 4.3818,                  1.558,                0.00133,                0.00133,                0.00133
                     24,                  1.201,                 1.5678,                 1.5711,                0.07354,                0.78191,                0.09144,                0.05992,                  1.275,                 4.1986,                 1.4991,              0.0013253,              0.0013253,              0.0013253
                     25,                 1.1597,                 1.5487,                 1.5374,                 0.0676,                0.26526,                0.08233,                0.05096,                 1.3607,                 3.6477,                 1.5784,              0.0013205,              0.0013205,              0.0013205
                     26,                 1.1574,                  1.575,                 1.5345,                0.08496,                0.78723,                0.09281,                0.05962,                  1.366,                 3.5798,                 1.5427,              0.0013158,              0.0013158,              0.0013158
                     27,                 1.1867,                 1.5741,                 1.5567,                0.11188,                0.66489,                0.10834,                0.06806,                 1.3179,                 3.8441,                 1.5476,              0.0013111,              0.0013111,              0.0013111
                     28,                 1.1508,                 1.5648,                 1.5329,                0.09901,                0.18085,                0.08074,                0.04531,                 1.2772,                 3.7109,                 1.5097,              0.0013064,              0.0013064,              0.0013064
                     29,                 1.1803,                  1.551,                 1.5478,                0.08326,                0.21809,                0.07097,                0.04179,                 1.3933,                  3.715,                 1.5627,              0.0013017,              0.0013017,              0.0013017
                     30,                 1.1766,                 1.5646,                 1.5446,                0.08505,                0.18617,                0.07109,                0.04482,                 1.3682,                 3.8036,                 1.5446,               0.001297,               0.001297,               0.001297
                     31,                 1.1689,                 1.5143,                 1.5453,                0.09186,                0.24422,                0.09526,                0.06093,                 1.3346,                 3.3067,                 1.4747,              0.0012922,              0.0012922,              0.0012922
                     32,                 1.1768,                 1.4968,                 1.5368,                0.08386,                0.76596,                0.08221,                0.05269,                 1.3263,                 3.7602,                 1.5152,              0.0012875,              0.0012875,              0.0012875
                     33,                 1.1696,                 1.5126,                  1.525,                0.08496,                0.18617,                0.08027,                 0.0507,                 1.3088,                 3.7851,                 1.4692,              0.0012828,              0.0012828,              0.0012828
                     34,                 1.1529,                 1.5048,                  1.515,                0.11222,                0.69681,                0.08607,                0.05237,                 1.3389,                 4.1509,                 1.5501,              0.0012781,              0.0012781,              0.0012781
                     35,                 1.1504,                 1.4668,                 1.5064,                0.08048,                0.20745,                0.06448,                0.03728,                 1.4398,                 4.0907,                 1.5843,              0.0012734,              0.0012734,              0.0012734
                     36,                  1.142,                 1.4831,                 1.5373,                0.09607,                0.20213,                0.08197,                0.04919,                 1.3462,                 4.2434,                 1.5183,              0.0012687,              0.0012687,              0.0012687
                     37,                 1.1574,                 1.5092,                 1.5309,                0.07171,                0.18617,                0.05669,                0.03406,                 1.5321,                 3.8825,                 1.7085,               0.001264,               0.001264,               0.001264
                     38,                 1.1284,                 1.4835,                 1.5048,                0.07791,                0.23404,                0.06262,                0.03426,                  1.398,                 4.2937,                 1.5788,              0.0012592,              0.0012592,              0.0012592
                     39,                 1.1255,                  1.436,                   1.51,                0.09379,                0.18617,                0.06612,                0.03662,                  1.401,                 3.7099,                 1.5971,              0.0012545,              0.0012545,              0.0012545
                     40,                 1.1073,                 1.4396,                 1.4792,                0.08467,                0.64894,                0.06453,                0.04104,                 1.4187,                 4.0072,                 1.6268,              0.0012498,              0.0012498,              0.0012498
                     41,                 1.1214,                  1.479,                 1.5057,                 0.0814,                0.22653,                0.06856,                 0.0421,                 1.3098,                 3.5685,                 1.5322,              0.0012451,              0.0012451,              0.0012451
                     42,                 1.1156,                  1.445,                 1.4899,                0.07536,                0.23787,                  0.062,                0.03598,                 1.3453,                 3.7131,                 1.5933,              0.0012404,              0.0012404,              0.0012404
                     43,                 1.1167,                 1.4405,                  1.502,                0.07609,                   0.25,                0.06644,                0.04049,                 1.3375,                 3.9559,                 1.5157,              0.0012357,              0.0012357,              0.0012357
                     44,                 1.1305,                 1.4467,                 1.5141,                0.08992,                0.20745,                0.08162,                0.04974,                  1.364,                 4.0987,                 1.5399,              0.0012309,              0.0012309,              0.0012309
                     45,                  1.089,                 1.4045,                 1.4839,                0.08453,                0.22872,                0.06813,                0.04157,                 1.3292,                 4.5838,                 1.4789,              0.0012262,              0.0012262,              0.0012262
                     46,                 1.1107,                 1.4159,                 1.4765,                0.07929,                0.19149,                0.06674,                0.04264,                 1.3351,                 4.7568,                  1.502,              0.0012215,              0.0012215,              0.0012215
                     47,                 1.1087,                 1.4121,                 1.4891,                0.07251,                0.23404,                 0.0596,                0.03552,                 1.3717,                 3.8548,                 1.5842,              0.0012168,              0.0012168,              0.0012168
                     48,                 1.1141,                 1.3946,                  1.494,                0.07896,                0.23404,                0.06656,                0.04185,                 1.3405,                 4.6718,                 1.5547,              0.0012121,              0.0012121,              0.0012121
                     49,                 1.0894,                 1.4411,                 1.4797,                0.07176,                 0.2234,                0.06049,                0.03696,                 1.3096,                  3.763,                 1.5077,              0.0012074,              0.0012074,              0.0012074
