                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1672,                 3.0141,                 1.5531,                 0.8198,                0.11607,                0.08191,                0.05055,                 1.1572,                 3.5209,                  1.548,             0.00041176,             0.00041176,             0.00041176
                      2,                 1.2174,                 2.2702,                 1.5586,                  0.831,                0.13138,                0.08349,                0.05155,                 1.2512,                 2.9358,                 1.6758,              0.0008257,              0.0008257,              0.0008257
                      3,                 1.2296,                 2.0284,                 1.5745,                0.84623,                0.13265,                0.10936,                0.07282,                 1.2683,                 2.3998,                 1.6402,              0.0012369,              0.0012369,              0.0012369
                      4,                 1.2517,                 1.8675,                 1.5943,                0.85076,                0.10714,                0.10303,                0.06638,                 1.3142,                  2.556,                 1.6667,              0.0012376,              0.0012376,              0.0012376
                      5,                  1.213,                 1.8025,                 1.5561,                0.84094,                0.14286,                 0.1063,                0.07226,                 1.2789,                 2.2933,                 1.6694,              0.0012376,              0.0012376,              0.0012376
                      6,                   1.21,                 1.7057,                 1.5721,                0.84405,                0.13537,                 0.1247,                0.08711,                 1.2924,                  2.227,                 1.6918,              0.0012335,              0.0012335,              0.0012335
                      7,                 1.2245,                 1.6961,                 1.5617,                0.66398,                0.18112,                0.12161,                0.07958,                 1.2947,                 2.2402,                 1.6777,              0.0012294,              0.0012294,              0.0012294
                      8,                 1.1963,                 1.6434,                 1.5592,                 0.8554,                0.13138,                0.12009,                0.07823,                  1.345,                 2.0565,                 1.7206,              0.0012252,              0.0012252,              0.0012252
                      9,                  1.224,                 1.6721,                 1.5724,                0.84559,                0.14286,                0.11064,                0.07076,                 1.2809,                   2.12,                  1.687,              0.0012211,              0.0012211,              0.0012211
                     10,                 1.1957,                 1.6752,                 1.5454,                0.36823,                0.17868,                0.11766,                0.07794,                 1.3343,                 2.0595,                 1.6878,               0.001217,               0.001217,               0.001217
                     11,                 1.2074,                 1.6753,                 1.5631,                0.85216,                0.12245,                0.13712,                0.09248,                 1.3712,                 2.0352,                 1.7567,              0.0012129,              0.0012129,              0.0012129
                     12,                 1.2387,                 1.6696,                 1.5739,                0.83586,                  0.125,                0.13137,                0.08654,                 1.3714,                  2.134,                 1.7098,              0.0012087,              0.0012087,              0.0012087
                     13,                 1.1922,                 1.6141,                 1.5292,                0.34442,                 0.1824,                0.13002,                0.09229,                 1.2704,                 2.0882,                 1.7009,              0.0012046,              0.0012046,              0.0012046
                     14,                 1.2197,                 1.6409,                 1.5613,                0.34807,                  0.256,                0.14768,                 0.0908,                 1.3908,                 2.4272,                 1.7499,              0.0012005,              0.0012005,              0.0012005
                     15,                 1.1872,                 1.5833,                 1.5324,                0.33608,                0.22704,                0.14357,                 0.0924,                 1.3318,                 2.0849,                 1.6822,              0.0011964,              0.0011964,              0.0011964
                     16,                 1.2143,                 1.6184,                 1.5496,                0.12579,                0.23342,                0.13516,                0.08396,                 1.3597,                 2.0846,                  1.701,              0.0011922,              0.0011922,              0.0011922
                     17,                 1.1834,                 1.5653,                 1.5355,                 0.3634,                0.20791,                0.13819,                0.09087,                 1.4183,                 2.2505,                 1.7408,              0.0011881,              0.0011881,              0.0011881
                     18,                 1.1875,                 1.5776,                 1.5194,                0.10213,                0.21429,                0.12991,                0.08621,                 1.3545,                 2.0572,                 1.7839,               0.001184,               0.001184,               0.001184
                     19,                 1.1901,                 1.5637,                 1.5417,                0.40258,                0.24235,                0.18531,                 0.1225,                 1.3492,                 2.0329,                 1.7415,              0.0011799,              0.0011799,              0.0011799
                     20,                 1.1895,                 1.5748,                 1.5334,                0.37872,                0.33146,                0.21514,                0.13385,                 1.3472,                 1.9816,                 1.7214,              0.0011757,              0.0011757,              0.0011757
                     21,                 1.1697,                 1.5381,                 1.5296,                0.19844,                0.29144,                0.17369,                0.11425,                 1.4413,                  2.171,                 1.8242,              0.0011716,              0.0011716,              0.0011716
                     22,                 1.1616,                 1.5008,                  1.506,                0.12256,                0.29617,                0.17354,                0.11954,                 1.3303,                 2.2527,                 1.6935,              0.0011675,              0.0011675,              0.0011675
                     23,                 1.1939,                 1.5687,                 1.5434,                0.25774,                0.36825,                0.20623,                0.14968,                 1.2974,                 1.9865,                 1.6889,              0.0011634,              0.0011634,              0.0011634
                     24,                 1.1563,                 1.5012,                 1.5146,                0.20004,                0.34458,                0.19792,                0.14214,                 1.2943,                 2.0708,                 1.6661,              0.0011593,              0.0011593,              0.0011593
                     25,                  1.162,                 1.4807,                 1.5216,                0.18855,                0.39374,                0.19903,                0.13282,                 1.3506,                 1.9066,                 1.7254,              0.0011551,              0.0011551,              0.0011551
                     26,                   1.15,                 1.4877,                 1.4977,                0.18867,                0.41907,                0.24651,                0.17334,                 1.3718,                 2.2717,                 1.7337,               0.001151,               0.001151,               0.001151
                     27,                 1.1837,                 1.5104,                 1.5195,                0.22208,                 0.3331,                0.22935,                0.15979,                 1.3051,                 2.1403,                 1.6927,              0.0011469,              0.0011469,              0.0011469
                     28,                 1.1486,                 1.4621,                 1.5011,                0.20866,                0.47725,                0.27051,                 0.1827,                 1.3682,                  2.016,                 1.7299,              0.0011428,              0.0011428,              0.0011428
                     29,                 1.1804,                 1.4683,                 1.4887,                0.17335,                0.32355,                0.21771,                0.14815,                 1.3652,                 2.2058,                 1.7047,              0.0011386,              0.0011386,              0.0011386
                     30,                 1.1617,                 1.4798,                 1.5045,                0.26745,                0.42988,                0.25274,                0.17752,                 1.3647,                 2.0428,                 1.6801,              0.0011345,              0.0011345,              0.0011345
                     31,                 1.1589,                 1.4601,                 1.4979,                0.20802,                0.41071,                0.28071,                0.20761,                 1.3328,                 1.9931,                 1.7189,              0.0011304,              0.0011304,              0.0011304
                     32,                 1.1416,                 1.4179,                  1.478,                0.27676,                0.31025,                0.22888,                0.16253,                 1.3867,                 2.0573,                 1.7457,              0.0011263,              0.0011263,              0.0011263
                     33,                 1.1342,                 1.4327,                 1.4818,                0.23843,                0.50787,                0.28839,                0.21808,                 1.3291,                 1.9981,                 1.6681,              0.0011221,              0.0011221,              0.0011221
                     34,                 1.1522,                 1.4104,                 1.5024,                0.23591,                0.54065,                0.31271,                0.22369,                 1.2941,                 2.0123,                 1.6705,               0.001118,               0.001118,               0.001118
                     35,                 1.1378,                 1.4172,                 1.4751,                0.18136,                0.44133,                0.29596,                0.21222,                 1.3336,                 1.9022,                 1.6867,              0.0011139,              0.0011139,              0.0011139
                     36,                  1.135,                 1.4465,                 1.4865,                0.20639,                0.46078,                0.24216,                0.16521,                 1.3042,                 1.9267,                 1.6727,              0.0011098,              0.0011098,              0.0011098
                     37,                 1.1137,                 1.3681,                 1.4649,                0.20346,                0.43489,                0.25675,                0.17263,                 1.3245,                 1.8831,                 1.6753,              0.0011056,              0.0011056,              0.0011056
                     38,                 1.1416,                 1.4146,                 1.4818,                0.26602,                0.32568,                0.30032,                0.21212,                 1.3605,                 1.9466,                 1.7306,              0.0011015,              0.0011015,              0.0011015
                     39,                 1.1378,                 1.4222,                  1.481,                0.25992,                0.41905,                 0.2629,                 0.1952,                 1.3626,                 1.9455,                 1.7418,              0.0010974,              0.0010974,              0.0010974
                     40,                 1.1426,                 1.4152,                 1.4731,                0.21875,                0.52789,                0.26188,                0.19615,                 1.3265,                 1.9705,                 1.6808,              0.0010933,              0.0010933,              0.0010933
                     41,                  1.136,                 1.3993,                 1.4791,                0.21515,                0.51071,                 0.2814,                0.20026,                 1.3548,                 2.0158,                 1.7688,              0.0010891,              0.0010891,              0.0010891
                     42,                 1.0978,                  1.388,                 1.4579,                0.21012,                0.52662,                0.27477,                0.19461,                 1.3573,                 1.9943,                 1.7671,               0.001085,               0.001085,               0.001085
                     43,                 1.1271,                 1.3847,                 1.4842,                0.29838,                0.35587,                0.27702,                0.19919,                  1.328,                 1.9503,                 1.7063,              0.0010809,              0.0010809,              0.0010809
                     44,                 1.1259,                  1.387,                 1.4598,                0.27585,                0.45928,                0.33592,                0.25323,                  1.327,                 1.9041,                 1.6937,              0.0010768,              0.0010768,              0.0010768
                     45,                 1.1214,                 1.3737,                 1.4682,                0.22956,                0.41837,                0.28871,                0.22385,                 1.3198,                 1.8556,                 1.6895,              0.0010726,              0.0010726,              0.0010726
                     46,                 1.1052,                 1.3653,                 1.4621,                 0.2822,                0.35334,                0.29329,                0.22413,                 1.3256,                 1.8759,                 1.7305,              0.0010685,              0.0010685,              0.0010685
                     47,                 1.1185,                 1.3175,                 1.4479,                0.30395,                0.35816,                0.30047,                0.22031,                 1.3128,                 1.8203,                  1.716,              0.0010644,              0.0010644,              0.0010644
                     48,                 1.1153,                 1.3301,                  1.452,                0.53109,                0.38903,                0.31408,                0.22921,                 1.3839,                 1.8607,                 1.7625,              0.0010603,              0.0010603,              0.0010603
                     49,                 1.1241,                  1.357,                  1.461,                0.21681,                0.62323,                0.25084,                0.16794,                 1.3526,                 1.9062,                 1.7007,              0.0010561,              0.0010561,              0.0010561
                     50,                 1.1382,                 1.3786,                 1.4752,                0.38873,                0.35656,                0.27385,                0.19234,                 1.4143,                  2.044,                 1.7752,               0.001052,               0.001052,               0.001052
                     51,                 1.0795,                 1.3389,                 1.4241,                0.29706,                0.38917,                0.33732,                0.25252,                 1.3054,                 1.8621,                 1.7275,              0.0010479,              0.0010479,              0.0010479
                     52,                 1.1251,                 1.3292,                 1.4517,                0.29378,                0.35204,                0.31986,                0.22524,                  1.415,                 2.0271,                 1.7893,              0.0010438,              0.0010438,              0.0010438
                     53,                 1.1188,                 1.3592,                 1.4688,                0.24616,                0.33418,                0.28768,                0.21817,                 1.3717,                 1.9275,                   1.73,              0.0010396,              0.0010396,              0.0010396
                     54,                 1.1223,                 1.3481,                  1.459,                0.25139,                0.72265,                0.32383,                0.22715,                 1.3527,                  1.806,                 1.7397,              0.0010355,              0.0010355,              0.0010355
                     55,                 1.0562,                  1.248,                 1.4225,                0.54738,                0.38915,                0.37329,                0.23435,                 1.4018,                 1.8613,                 1.7614,              0.0010314,              0.0010314,              0.0010314
                     56,                 1.0847,                 1.3054,                 1.4365,                0.27687,                  0.496,                0.36665,                0.27624,                 1.3576,                 1.9239,                 1.7147,              0.0010273,              0.0010273,              0.0010273
                     57,                 1.0748,                 1.2643,                 1.4186,                0.33147,                0.48045,                0.33112,                0.23235,                 1.3344,                 1.9962,                 1.7038,              0.0010231,              0.0010231,              0.0010231
                     58,                 1.0849,                  1.312,                 1.4306,                0.27024,                0.54404,                0.31803,                0.23354,                  1.379,                 1.9999,                 1.7483,               0.001019,               0.001019,               0.001019
                     59,                 1.0752,                 1.2923,                 1.4113,                0.25426,                0.52042,                0.33472,                0.23944,                 1.3727,                 2.0272,                 1.7357,              0.0010149,              0.0010149,              0.0010149
                     60,                 1.1034,                 1.2915,                  1.452,                0.37501,                0.34074,                0.33755,                0.23152,                 1.3423,                 2.0462,                 1.7375,              0.0010107,              0.0010107,              0.0010107
                     61,                 1.0851,                 1.2889,                 1.4334,                0.25277,                 0.4358,                0.32767,                0.23964,                 1.3489,                  2.048,                 1.7063,              0.0010066,              0.0010066,              0.0010066
                     62,                 1.0689,                 1.2526,                 1.4244,                0.27681,                0.52534,                0.32362,                0.24001,                 1.3933,                 1.9124,                 1.7549,              0.0010025,              0.0010025,              0.0010025
                     63,                 1.0957,                 1.2923,                 1.4336,                0.26056,                0.34226,                0.26881,                0.17721,                 1.3934,                 2.0146,                 1.7761,             0.00099837,             0.00099837,             0.00099837
                     64,                 1.0763,                 1.2692,                 1.4329,                0.60731,                0.38095,                0.39123,                0.28525,                 1.3579,                 2.0177,                  1.723,             0.00099425,             0.00099425,             0.00099425
                     65,                 1.0913,                 1.2725,                 1.4455,                0.22592,                0.31378,                0.25845,                0.17903,                 1.3895,                  2.051,                 1.7636,             0.00099013,             0.00099013,             0.00099013
                     66,                 1.0671,                 1.2346,                 1.4165,                0.22575,                0.43289,                0.34093,                0.25753,                 1.4076,                 1.9421,                 1.7972,               0.000986,               0.000986,               0.000986
                     67,                 1.0617,                 1.2423,                 1.4244,                0.28852,                0.62189,                0.33701,                0.24474,                 1.3612,                 1.9273,                 1.7456,             0.00098187,             0.00098187,             0.00098187
                     68,                 1.0796,                 1.2567,                 1.4199,                0.24304,                0.59294,                  0.361,                0.25801,                 1.3985,                 2.0153,                 1.7909,             0.00097775,             0.00097775,             0.00097775
                     69,                 1.0258,                 1.2356,                 1.4085,                0.34011,                0.57253,                0.36113,                0.25684,                 1.3632,                 1.9295,                 1.7071,             0.00097362,             0.00097362,             0.00097362
                     70,                 1.0481,                 1.2452,                 1.3953,                0.24216,                0.42082,                0.33673,                0.26402,                 1.3778,                 1.9074,                 1.7331,              0.0009695,              0.0009695,              0.0009695
                     71,                 1.0644,                 1.2507,                 1.4157,                 0.4169,                0.34757,                0.35945,                0.26862,                 1.3681,                 1.9273,                 1.7528,             0.00096537,             0.00096537,             0.00096537
                     72,                  1.078,                 1.2292,                  1.425,                0.48742,                0.45994,                0.33644,                0.24033,                 1.3702,                 1.9541,                 1.7223,             0.00096125,             0.00096125,             0.00096125
                     73,                 1.0388,                 1.2096,                 1.3953,                0.56181,                0.46173,                0.36427,                0.25367,                 1.3632,                 1.9042,                 1.7477,             0.00095712,             0.00095712,             0.00095712
                     74,                 1.0607,                 1.2138,                 1.4174,                 0.3196,                0.38285,                 0.3759,                0.29391,                 1.3651,                 1.8573,                 1.7171,               0.000953,               0.000953,               0.000953
                     75,                 1.0669,                 1.2362,                 1.4269,                0.35331,                0.52406,                0.38162,                0.28852,                 1.3446,                 1.7891,                 1.7457,             0.00094887,             0.00094887,             0.00094887
                     76,                 1.0405,                 1.2096,                 1.3944,                0.38578,                0.40878,                0.37028,                0.27441,                  1.401,                 1.9532,                 1.7562,             0.00094475,             0.00094475,             0.00094475
                     77,                 1.0362,                 1.2287,                 1.4191,                0.25479,                0.60296,                0.35489,                0.24864,                 1.3859,                 1.9628,                 1.7234,             0.00094062,             0.00094062,             0.00094062
                     78,                 1.0488,                 1.2209,                 1.4007,                 0.2701,                0.45663,                0.32185,                0.23076,                 1.3806,                  1.853,                  1.755,              0.0009365,              0.0009365,              0.0009365
                     79,                  1.012,                 1.2132,                 1.3964,                0.36354,                0.47024,                0.36684,                0.28235,                 1.4217,                 1.9783,                 1.7658,             0.00093238,             0.00093238,             0.00093238
                     80,                 1.0527,                 1.2155,                 1.3974,                 0.2989,                0.39794,                0.36646,                0.25611,                 1.3922,                 1.7993,                 1.7648,             0.00092825,             0.00092825,             0.00092825
                     81,                 1.0472,                 1.2376,                 1.3943,                0.24272,                0.43566,                0.28094,                0.19262,                 1.4175,                 2.0091,                 1.7472,             0.00092413,             0.00092413,             0.00092413
                     82,                 1.0246,                 1.1772,                 1.3916,                0.28831,                 0.4932,                0.33519,                0.24264,                 1.3628,                 1.8896,                 1.7668,                0.00092,                0.00092,                0.00092
                     83,                 1.0255,                 1.1612,                 1.3809,                0.34187,                0.47534,                0.34682,                0.25406,                 1.4059,                 1.9634,                 1.7722,             0.00091588,             0.00091588,             0.00091588
                     84,                 1.0442,                 1.1746,                  1.375,                0.24152,                0.69957,                0.28592,                0.19951,                 1.3463,                 1.9206,                 1.7226,             0.00091175,             0.00091175,             0.00091175
                     85,                 1.0138,                 1.1796,                  1.365,                 0.4446,                0.42266,                0.35402,                0.25188,                 1.3727,                 1.9323,                 1.7468,             0.00090763,             0.00090763,             0.00090763
                     86,                 1.0461,                 1.1936,                 1.3924,                0.27178,                0.51556,                0.31017,                0.19789,                 1.3961,                 1.8255,                 1.7492,              0.0009035,              0.0009035,              0.0009035
                     87,                 1.0175,                 1.1715,                 1.3756,                0.37533,                0.39073,                  0.378,                0.27036,                 1.3568,                 1.8314,                 1.6948,             0.00089938,             0.00089938,             0.00089938
                     88,                 1.0378,                 1.2123,                 1.3993,                0.35561,                0.52832,                0.37967,                0.28498,                 1.3479,                 1.9112,                 1.6944,             0.00089525,             0.00089525,             0.00089525
                     89,                 1.0075,                 1.1484,                  1.363,                0.23419,                0.50901,                0.36741,                0.26032,                 1.3937,                 1.9642,                 1.7454,             0.00089112,             0.00089112,             0.00089112
                     90,                 1.0249,                 1.1803,                 1.3812,                0.27757,                0.47024,                0.34138,                 0.2506,                 1.3145,                 1.8851,                 1.6936,               0.000887,               0.000887,               0.000887
                     91,                 1.0228,                 1.1527,                 1.3837,                0.28374,                0.46752,                0.31887,                0.23904,                 1.3828,                 2.1468,                 1.7297,             0.00088288,             0.00088288,             0.00088288
                     92,                 1.0104,                 1.1559,                 1.3778,                0.28798,                0.45562,                 0.2951,                0.20491,                 1.3716,                 2.2445,                 1.7649,             0.00087875,             0.00087875,             0.00087875
                     93,                 1.0048,                 1.1388,                 1.3634,                0.32204,                0.45227,                 0.3692,                0.25732,                 1.4205,                 1.9637,                 1.7871,             0.00087462,             0.00087462,             0.00087462
                     94,                 0.9882,                 1.1471,                 1.3645,                0.34481,                0.42402,                0.34904,                0.24265,                 1.3568,                 2.0195,                 1.7288,              0.0008705,              0.0008705,              0.0008705
                     95,                 1.0064,                  1.156,                 1.3693,                0.26547,                0.54344,                0.34534,                0.24758,                 1.3691,                 1.9783,                 1.7248,             0.00086637,             0.00086637,             0.00086637
                     96,                  1.015,                 1.1252,                 1.3685,                0.28062,                0.55978,                0.32986,                0.22806,                 1.4549,                  1.942,                 1.7982,             0.00086225,             0.00086225,             0.00086225
                     97,                0.98213,                 1.1145,                 1.3522,                0.31998,                0.43112,                0.32282,                0.22548,                  1.426,                 2.0196,                 1.7833,             0.00085813,             0.00085813,             0.00085813
                     98,                 1.0044,                 1.1737,                 1.3681,                0.22032,                 0.4891,                0.32798,                0.24156,                 1.3451,                 2.3805,                  1.749,               0.000854,               0.000854,               0.000854
                     99,                 1.0007,                 1.1221,                 1.3651,                0.54801,                0.39667,                0.35262,                0.24457,                 1.3986,                 1.8641,                   1.76,             0.00084988,             0.00084988,             0.00084988
                    100,                 1.0095,                 1.1458,                 1.3648,                0.40742,                0.36313,                0.36021,                0.25213,                  1.422,                 1.9027,                 1.7477,             0.00084575,             0.00084575,             0.00084575
