                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5892,                 1.8399,                 1.9211,                0.60669,                 0.4712,                0.43378,                0.23078,                 1.7408,                 1.9335,                 2.1384,              0.0017888,              0.0017888,              0.0017888
                     35,                 1.5829,                 1.8407,                 1.9245,                0.56764,                0.44764,                0.43556,                0.22658,                 1.7349,                 1.9894,                   2.13,              0.0017822,              0.0017822,              0.0017822
                     36,                 1.5434,                 1.7915,                 1.8818,                0.53094,                0.41099,                0.41553,                0.22136,                 1.7319,                 2.0514,                 2.1532,              0.0017756,              0.0017756,              0.0017756
                     37,                 1.5323,                 1.7649,                 1.8904,                0.64794,                0.45026,                0.45499,                0.24621,                 1.6946,                 1.8871,                 2.1018,               0.001769,               0.001769,               0.001769
                     38,                 1.5625,                 1.7595,                 1.8933,                0.57115,                0.40442,                 0.3898,                0.19506,                 1.8408,                 2.1705,                 2.2462,              0.0017624,              0.0017624,              0.0017624
                     39,                 1.5426,                 1.7684,                 1.8781,                0.59459,                0.42932,                0.43261,                0.21887,                 1.7773,                 2.0118,                 2.1207,              0.0017558,              0.0017558,              0.0017558
                     40,                 1.5184,                 1.7418,                 1.8595,                0.57874,                0.45812,                0.45562,                0.24954,                 1.6961,                 1.8902,                   2.08,              0.0017492,              0.0017492,              0.0017492
                     41,                 1.5303,                   1.76,                 1.8642,                0.61955,                0.47906,                0.46464,                0.25198,                 1.6997,                 1.8369,                  2.077,              0.0017426,              0.0017426,              0.0017426
                     42,                 1.5241,                 1.7645,                 1.8671,                0.64607,                0.43194,                 0.4593,                0.25257,                 1.6422,                 1.8657,                 2.0484,               0.001736,               0.001736,               0.001736
                     43,                 1.4898,                 1.7013,                 1.8237,                0.59435,                0.47944,                0.48173,                 0.2635,                 1.6231,                 1.8115,                 2.0098,              0.0017294,              0.0017294,              0.0017294
                     44,                 1.4994,                 1.7009,                 1.8453,                0.55841,                0.47644,                0.46149,                0.24919,                 1.6385,                 1.9659,                 2.0378,              0.0017228,              0.0017228,              0.0017228
                     45,                 1.5038,                 1.7019,                 1.8287,                0.58032,                0.49229,                0.49484,                0.27103,                 1.6956,                 1.7792,                 2.0615,              0.0017162,              0.0017162,              0.0017162
                     46,                 1.4863,                 1.6891,                   1.84,                0.60966,                0.43979,                0.46518,                 0.2484,                 1.6925,                 1.8676,                  2.109,              0.0017096,              0.0017096,              0.0017096
                     47,                 1.4958,                 1.6854,                 1.8372,                0.60712,                0.46597,                0.48576,                0.26197,                 1.6495,                 1.7984,                 2.0363,               0.001703,               0.001703,               0.001703
                     48,                 1.4756,                 1.6482,                 1.8312,                0.60015,                0.48691,                0.47018,                0.25057,                 1.7276,                  1.841,                 2.0899,              0.0016964,              0.0016964,              0.0016964
                     49,                 1.5122,                 1.6917,                 1.8331,                0.58037,                0.50262,                0.47208,                0.25189,                 1.6768,                 1.7928,                 2.0624,              0.0016898,              0.0016898,              0.0016898
                     50,                 1.4454,                 1.6538,                 1.8126,                0.60801,                0.48691,                0.47853,                0.25705,                 1.6734,                   1.78,                 2.0638,              0.0016832,              0.0016832,              0.0016832
                     51,                 1.4672,                 1.6788,                 1.8035,                0.63255,                0.48168,                0.48965,                0.27198,                 1.6649,                 1.7694,                 2.0618,              0.0016766,              0.0016766,              0.0016766
                     52,                 1.4654,                 1.6638,                 1.8137,                0.57705,                0.47382,                0.46681,                0.25732,                 1.6335,                 1.8224,                 1.9979,                0.00167,                0.00167,                0.00167
                     53,                  1.452,                  1.623,                 1.7988,                0.62845,                0.44764,                0.48721,                  0.262,                 1.6582,                 1.7894,                 2.0285,              0.0016634,              0.0016634,              0.0016634
                     54,                  1.471,                 1.6819,                 1.8157,                0.57463,                0.49215,                0.48205,                0.25371,                 1.6699,                 1.8541,                 2.0534,              0.0016568,              0.0016568,              0.0016568
                     55,                 1.4492,                 1.6495,                 1.8168,                0.59837,                0.47644,                0.46121,                0.24806,                  1.673,                 1.7763,                 2.0431,              0.0016502,              0.0016502,              0.0016502
                     56,                  1.438,                 1.6364,                 1.7978,                 0.6047,                0.49657,                0.49228,                0.27651,                 1.6231,                  1.758,                 2.0374,              0.0016436,              0.0016436,              0.0016436
                     57,                 1.4517,                 1.6502,                 1.7977,                0.53239,                 0.4712,                0.44782,                0.23847,                 1.6745,                 1.8748,                 2.0287,               0.001637,               0.001637,               0.001637
                     58,                 1.4299,                 1.6184,                 1.7757,                0.68414,                0.47063,                0.52237,                0.28618,                  1.597,                 1.7347,                 1.9859,              0.0016304,              0.0016304,              0.0016304
                     59,                 1.4386,                 1.6191,                 1.7939,                0.55268,                0.50785,                0.47417,                0.25992,                 1.6409,                 1.8065,                 2.0366,              0.0016238,              0.0016238,              0.0016238
                     60,                 1.4353,                 1.6139,                 1.7764,                0.62174,                0.46597,                0.49727,                 0.2783,                 1.6038,                 1.7605,                 1.9987,              0.0016172,              0.0016172,              0.0016172
                     61,                   1.41,                 1.6127,                 1.7899,                0.63168,                0.48168,                0.50543,                0.28427,                  1.598,                 1.7594,                 2.0042,              0.0016106,              0.0016106,              0.0016106
                     62,                 1.4602,                 1.6365,                 1.7994,                0.61864,                0.49738,                0.48469,                0.27031,                 1.6514,                 1.7287,                 2.0295,               0.001604,               0.001604,               0.001604
                     63,                 1.4021,                 1.5869,                 1.7453,                0.64818,                0.46859,                0.50576,                0.28308,                 1.6403,                 1.7191,                 1.9835,              0.0015974,              0.0015974,              0.0015974
                     64,                 1.4009,                 1.5547,                 1.7476,                0.63959,                0.50262,                0.51142,                0.28668,                 1.6019,                 1.6337,                 1.9869,              0.0015908,              0.0015908,              0.0015908
                     65,                 1.4344,                 1.6202,                 1.7938,                0.57852,                    0.5,                0.49903,                0.28104,                 1.6132,                  1.738,                 1.9964,              0.0015842,              0.0015842,              0.0015842
                     66,                 1.4058,                 1.6078,                 1.7796,                0.60081,                0.49215,                0.50486,                0.27643,                 1.6375,                 1.7128,                 2.0315,              0.0015776,              0.0015776,              0.0015776
                     67,                 1.4157,                  1.579,                 1.7521,                0.56697,                0.46073,                0.47742,                0.25268,                 1.6656,                 1.8126,                  2.035,               0.001571,               0.001571,               0.001571
                     68,                 1.4033,                 1.5609,                 1.7644,                  0.653,                 0.4712,                0.50036,                0.27586,                 1.6649,                 1.7554,                  2.049,              0.0015644,              0.0015644,              0.0015644
                     69,                 1.3843,                 1.5545,                 1.7303,                0.65092,                0.45885,                0.48778,                0.27916,                 1.5949,                 1.7266,                 1.9583,              0.0015578,              0.0015578,              0.0015578
                     70,                 1.3607,                 1.5407,                 1.7021,                0.60589,                 0.4555,                 0.4926,                0.27661,                 1.6362,                  1.755,                 2.0036,              0.0015512,              0.0015512,              0.0015512
                     71,                 1.3594,                 1.5053,                 1.6993,                0.63604,                0.50262,                0.51793,                0.29924,                 1.5692,                 1.6456,                 1.9765,              0.0015446,              0.0015446,              0.0015446
                     72,                 1.3627,                 1.5239,                  1.709,                0.62609,                0.51309,                0.53801,                0.30686,                 1.5729,                  1.632,                 1.9584,               0.001538,               0.001538,               0.001538
                     73,                 1.3755,                 1.5412,                 1.7216,                0.60857,                0.49476,                0.51064,                 0.2949,                 1.6076,                 1.6598,                 1.9847,              0.0015314,              0.0015314,              0.0015314
                     74,                 1.3534,                  1.506,                 1.7191,                0.59927,                0.49476,                0.50768,                0.28495,                  1.596,                 1.7031,                 1.9772,              0.0015248,              0.0015248,              0.0015248
                     75,                 1.3657,                 1.5074,                 1.7178,                0.65204,                0.50524,                0.53392,                0.29817,                 1.6273,                 1.6494,                 1.9918,              0.0015182,              0.0015182,              0.0015182
                     76,                 1.3494,                 1.4662,                 1.6989,                0.58493,                0.51309,                0.51351,                0.28849,                  1.586,                 1.6424,                 1.9813,              0.0015116,              0.0015116,              0.0015116
                     77,                 1.3389,                 1.5191,                 1.7183,                 0.6151,                0.49738,                0.50554,                0.28607,                 1.5742,                 1.7327,                 1.9563,               0.001505,               0.001505,               0.001505
                     78,                 1.3449,                  1.505,                 1.6906,                0.67311,                0.49476,                0.51218,                0.28863,                 1.5765,                 1.6756,                 1.9525,              0.0014984,              0.0014984,              0.0014984
                     79,                 1.3461,                 1.5068,                 1.6959,                0.62351,                0.51832,                 0.5196,                0.29871,                 1.5959,                 1.6278,                 1.9751,              0.0014918,              0.0014918,              0.0014918
                     80,                 1.3398,                  1.457,                 1.6912,                 0.6959,                0.49215,                0.54028,                0.30869,                 1.5909,                 1.6277,                 1.9642,              0.0014852,              0.0014852,              0.0014852
                     81,                 1.3651,                 1.5094,                 1.7047,                0.59609,                0.50223,                0.50843,                0.29323,                 1.5602,                  1.742,                 1.9441,              0.0014786,              0.0014786,              0.0014786
                     82,                 1.3035,                 1.4325,                 1.6633,                0.60454,                0.48429,                0.48551,                0.27733,                 1.6359,                   1.75,                 1.9824,               0.001472,               0.001472,               0.001472
                     83,                 1.3251,                 1.4635,                 1.6816,                0.57161,                0.48168,                0.52666,                0.30145,                 1.5759,                 1.6506,                  1.913,              0.0014654,              0.0014654,              0.0014654
                     84,                 1.3539,                  1.483,                 1.7244,                0.59672,                0.51518,                0.53284,                0.30388,                  1.584,                 1.6393,                 1.9527,              0.0014588,              0.0014588,              0.0014588
                     85,                 1.3448,                  1.465,                 1.6929,                0.57736,                    0.5,                0.51094,                0.28227,                  1.625,                 1.6896,                  1.969,              0.0014522,              0.0014522,              0.0014522
                     86,                 1.3574,                 1.4898,                  1.683,                 0.5327,                0.49476,                0.47873,                0.27334,                 1.5928,                 1.7623,                 1.9424,              0.0014456,              0.0014456,              0.0014456
                     87,                 1.3123,                 1.4513,                 1.6712,                0.66793,                0.48691,                0.53872,                0.30707,                 1.5888,                  1.657,                 1.9448,               0.001439,               0.001439,               0.001439
                     88,                 1.3051,                 1.4187,                 1.6783,                0.67159,                0.48716,                0.55247,                0.31671,                 1.5835,                 1.5947,                 1.9581,              0.0014324,              0.0014324,              0.0014324
                     89,                 1.3146,                 1.4735,                 1.6678,                0.63343,                0.48854,                0.52473,                0.30571,                 1.5697,                 1.6888,                  1.942,              0.0014258,              0.0014258,              0.0014258
                     90,                 1.3423,                  1.457,                 1.6731,                0.65703,                0.49476,                0.53117,                0.31228,                 1.5719,                 1.6152,                 1.9382,              0.0014192,              0.0014192,              0.0014192
                     91,                 1.3205,                 1.4463,                 1.6643,                0.57636,                0.48792,                0.50243,                0.28701,                 1.5838,                 1.6887,                 1.9395,              0.0014126,              0.0014126,              0.0014126
                     92,                 1.3074,                 1.4331,                 1.6414,                0.67525,                0.48168,                0.51739,                0.30571,                 1.5607,                 1.6051,                 1.9179,               0.001406,               0.001406,               0.001406
                     93,                 1.2889,                 1.3929,                 1.6345,                0.61722,                0.51919,                0.54119,                0.31606,                 1.5493,                 1.5484,                 1.9388,              0.0013994,              0.0013994,              0.0013994
