                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0335,                 3.6861,                 1.4127,                0.35265,                0.12565,                 0.1914,                0.10163,                0.80324,                 3.6551,                 1.2306,                0.00035,                0.00035,                0.00035
                      2,                 1.0365,                 3.2268,                 1.3539,                0.23534,                0.25823,                0.22153,                 0.1428,                0.91363,                 3.0908,                 1.3073,             0.00071015,             0.00071015,             0.00071015
                      3,                 1.0897,                 2.7379,                 1.3824,                0.32172,                0.31409,                 0.2691,                0.18626,                0.91786,                 2.8134,                 1.2891,              0.0010679,              0.0010679,              0.0010679
                      4,                 1.1231,                 2.3829,                 1.4171,                0.31144,                0.45823,                0.35083,                0.25998,                0.93389,                 2.1384,                 1.2995,              0.0012376,              0.0012376,              0.0012376
                      5,                 1.1112,                 2.1754,                 1.4097,                0.26769,                0.38377,                0.26996,                0.18915,                 1.0009,                 2.3312,                 1.3256,              0.0012376,              0.0012376,              0.0012376
                      6,                 1.1066,                 2.0943,                 1.4003,                0.30669,                0.49565,                0.41283,                0.30134,                 0.9649,                 1.9629,                 1.3428,              0.0012335,              0.0012335,              0.0012335
                      7,                 1.0355,                 2.0566,                 1.3952,                0.31198,                0.57758,                0.33086,                0.24624,                0.86985,                 1.8689,                 1.2661,              0.0012294,              0.0012294,              0.0012294
                      8,                 1.0925,                 2.0255,                 1.4178,                 0.3368,                0.51654,                0.38033,                0.28318,                0.91066,                 1.7524,                 1.2907,              0.0012252,              0.0012252,              0.0012252
                      9,                 1.0662,                 1.9248,                 1.3736,                0.33157,                 0.4785,                0.45536,                0.34168,                0.96157,                 1.7053,                 1.3324,              0.0012211,              0.0012211,              0.0012211
                     10,                 1.0483,                 1.8833,                 1.3744,                0.26623,                0.65359,                0.35644,                0.27037,                0.90689,                 1.7744,                 1.2935,               0.001217,               0.001217,               0.001217
                     11,                 1.0144,                 1.8624,                  1.365,                 0.3036,                0.63675,                0.38542,                0.30148,                0.85766,                 1.6912,                 1.2564,              0.0012129,              0.0012129,              0.0012129
                     12,                 1.0244,                 1.8113,                 1.3652,                0.36765,                0.56545,                0.43748,                0.33178,                 0.8814,                 1.5972,                 1.2916,              0.0012087,              0.0012087,              0.0012087
                     13,                 1.0318,                 1.8078,                 1.3443,                0.37621,                0.52534,                0.41149,                0.31346,                0.87727,                  1.602,                 1.2591,              0.0012046,              0.0012046,              0.0012046
                     14,                 1.0291,                   1.77,                 1.3446,                0.27602,                 0.6452,                0.38404,                0.28378,                 0.9328,                 1.6876,                 1.2729,              0.0012005,              0.0012005,              0.0012005
                     15,                 1.0236,                 1.7221,                 1.3438,                0.38871,                0.42526,                0.41346,                 0.3108,                0.94066,                 1.6663,                 1.3078,              0.0011964,              0.0011964,              0.0011964
                     16,                0.99488,                 1.6872,                 1.3376,                0.41606,                0.50521,                0.45836,                0.33677,                0.93433,                 1.6167,                 1.2863,              0.0011922,              0.0011922,              0.0011922
                     17,                0.98437,                 1.6861,                 1.3279,                0.29528,                0.50391,                0.35882,                0.26145,                0.98486,                 1.7696,                 1.3533,              0.0011881,              0.0011881,              0.0011881
                     18,                 1.0126,                 1.6766,                 1.3334,                0.31279,                0.53526,                0.37869,                0.28557,                0.97023,                 1.6702,                 1.3356,               0.001184,               0.001184,               0.001184
                     19,                0.95152,                 1.6289,                 1.2842,                0.43075,                 0.4938,                0.43911,                0.32624,                 0.9697,                 1.6083,                 1.3391,              0.0011799,              0.0011799,              0.0011799
                     20,                0.99969,                 1.6683,                 1.3289,                0.32237,                0.52623,                0.44963,                0.33768,                0.96222,                 1.5604,                 1.3535,              0.0011757,              0.0011757,              0.0011757
                     21,                0.99399,                 1.5777,                 1.3114,                0.34872,                0.51721,                 0.4491,                0.33662,                0.92359,                 1.5296,                 1.2863,              0.0011716,              0.0011716,              0.0011716
                     22,                0.96723,                  1.571,                 1.2857,                0.40715,                0.40222,                0.40023,                0.30469,                0.94787,                 1.6377,                 1.3039,              0.0011675,              0.0011675,              0.0011675
                     23,                0.97652,                 1.5505,                 1.3049,                0.44139,                0.50351,                 0.4474,                 0.3433,                0.86604,                 1.4814,                 1.2642,              0.0011634,              0.0011634,              0.0011634
                     24,                0.95179,                 1.5308,                 1.2984,                0.33389,                0.61217,                0.46023,                0.35413,                0.92903,                 1.4894,                 1.3387,              0.0011593,              0.0011593,              0.0011593
                     25,                0.97094,                 1.5156,                 1.2914,                0.40565,                0.52429,                0.43642,                0.33477,                0.89397,                 1.5367,                 1.2798,              0.0011551,              0.0011551,              0.0011551
                     26,                0.91668,                 1.4854,                  1.282,                0.46008,                0.45951,                0.50427,                0.39468,                0.89825,                 1.4253,                 1.2615,               0.001151,               0.001151,               0.001151
                     27,                  0.931,                 1.4574,                 1.2702,                 0.5194,                0.33798,                0.44469,                0.34359,                0.90529,                 1.4982,                 1.2845,              0.0011469,              0.0011469,              0.0011469
                     28,                0.94379,                 1.5068,                 1.2817,                0.33327,                 0.6315,                0.41538,                0.32076,                0.87742,                 1.5287,                 1.2527,              0.0011428,              0.0011428,              0.0011428
                     29,                0.93286,                 1.4112,                 1.2539,                0.40026,                  0.499,                 0.4372,                0.34317,                0.91842,                 1.5091,                 1.3217,              0.0011386,              0.0011386,              0.0011386
                     30,                0.91978,                  1.429,                 1.2745,                 0.4532,                0.46988,                 0.4466,                0.33981,                0.92612,                  1.444,                   1.31,              0.0011345,              0.0011345,              0.0011345
                     31,                0.95037,                 1.4508,                 1.2945,                0.33776,                0.56132,                0.48083,                0.36649,                0.91924,                 1.4723,                 1.3117,              0.0011304,              0.0011304,              0.0011304
                     32,                 0.9101,                 1.4129,                  1.258,                0.40938,                0.49951,                0.46544,                0.36987,                0.88208,                 1.4652,                 1.2767,              0.0011263,              0.0011263,              0.0011263
                     33,                0.90035,                 1.4107,                 1.2483,                0.34443,                0.68492,                0.44424,                0.33798,                0.95956,                  1.495,                 1.3268,              0.0011221,              0.0011221,              0.0011221
                     34,                0.92108,                 1.3918,                 1.2571,                0.41546,                0.61559,                 0.5185,                0.38987,                0.91943,                 1.4401,                 1.3034,               0.001118,               0.001118,               0.001118
