                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1151,                 3.4499,                 1.5295,                0.59405,                0.23948,                0.27035,                 0.1928,                0.87876,                 2.7034,                 1.2585,              0.0004072,              0.0004072,              0.0004072
                      2,                 1.1092,                 2.5919,                 1.5307,                0.95001,                0.26214,                0.29501,                0.21327,                0.93942,                  2.151,                 1.3022,             0.00082114,             0.00082114,             0.00082114
                      3,                 1.1024,                 2.0214,                 1.4997,                0.94335,                0.26861,                0.32906,                0.25585,                0.86277,                 1.8125,                 1.2661,              0.0012323,              0.0012323,              0.0012323
                      4,                  1.083,                 1.8059,                 1.4661,                0.95219,                0.45981,                 0.5505,                0.43007,                0.86082,                 1.2186,                 1.3029,              0.0012376,              0.0012376,              0.0012376
                      5,                 1.0955,                 1.6082,                 1.4893,                0.49439,                 0.6219,                0.60054,                0.45509,                0.90061,                 1.2078,                 1.2613,              0.0012376,              0.0012376,              0.0012376
                      6,                 1.0725,                 1.5178,                 1.4694,                0.59398,                0.56393,                0.63328,                0.48287,                0.87254,                 1.0333,                 1.2704,              0.0012335,              0.0012335,              0.0012335
                      7,                 1.0415,                 1.4022,                 1.4274,                   0.42,                0.52355,                0.52775,                0.38458,                 0.8923,                 1.7715,                 1.2739,              0.0012294,              0.0012294,              0.0012294
                      8,                 1.0378,                 1.3061,                 1.4253,                 0.6697,                0.61866,                0.63187,                0.47019,                0.87458,                  1.015,                 1.2419,              0.0012252,              0.0012252,              0.0012252
                      9,                 1.0491,                 1.3072,                 1.4353,                0.51564,                0.70885,                0.63122,                0.48944,                 0.8559,                 1.0589,                 1.2249,              0.0012211,              0.0012211,              0.0012211
                     10,                 1.0197,                 1.2537,                 1.4175,                0.57901,                0.66538,                0.65799,                0.51708,                0.79408,                0.93406,                 1.1917,               0.001217,               0.001217,               0.001217
                     11,                0.97524,                 1.1997,                 1.3745,                0.69729,                0.62514,                0.67441,                 0.5214,                0.86442,                0.90032,                 1.2458,              0.0012129,              0.0012129,              0.0012129
                     12,                 1.0108,                 1.2196,                 1.4099,                0.48052,                0.65089,                 0.6298,                0.45052,                0.90767,                0.99298,                 1.2851,              0.0012087,              0.0012087,              0.0012087
                     13,                0.97762,                 1.1528,                 1.3511,                0.53086,                0.65342,                0.65385,                0.52559,                0.76983,                0.90513,                 1.1724,              0.0012046,              0.0012046,              0.0012046
                     14,                  1.002,                 1.1693,                 1.3865,                0.52849,                0.67987,                0.64272,                0.50252,                0.84012,                0.96866,                 1.2228,              0.0012005,              0.0012005,              0.0012005
                     15,                0.95308,                  1.095,                 1.3673,                0.54388,                0.71857,                0.65682,                0.50343,                0.83286,                0.83871,                 1.2136,              0.0011964,              0.0011964,              0.0011964
                     16,                0.95862,                 1.0976,                 1.3442,                  0.538,                0.68644,                  0.643,                0.50374,                0.81899,                 1.0214,                 1.2047,              0.0011922,              0.0011922,              0.0011922
                     17,                0.97455,                 1.0733,                 1.3606,                0.89051,                0.57519,                0.72666,                0.56135,                 0.7783,                0.84405,                 1.1922,              0.0011881,              0.0011881,              0.0011881
                     18,                0.96836,                 1.0909,                 1.3586,                0.63961,                0.60741,                0.70171,                0.53425,                0.82553,                0.85279,                 1.2296,               0.001184,               0.001184,               0.001184
