                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0327,                 3.4153,                 1.4477,                0.26689,                0.24539,                0.13113,                 0.1124,                0.75259,                 11.485,                 1.1197,             0.00041246,             0.00041246,             0.00041246
                      2,                 1.0113,                 2.4352,                 1.4014,                0.12696,                0.46623,                0.15291,                0.11723,                 1.0074,                 7.1855,                 1.5387,             0.00082639,             0.00082639,             0.00082639
                      3,                 1.0152,                 2.0197,                 1.3883,                0.17742,                0.48355,                0.19502,                0.16246,                0.74768,                 5.0567,                 1.1217,              0.0012376,              0.0012376,              0.0012376
                      4,                 1.0111,                 1.6952,                 1.3609,                0.15472,                0.68728,                0.19253,                0.16124,                0.77259,                 4.7279,                 1.1202,              0.0012376,              0.0012376,              0.0012376
                      5,                0.98662,                 1.5359,                 1.3242,                0.17798,                0.80241,                0.22797,                0.19056,                0.67144,                 3.3216,                 1.0523,              0.0012376,              0.0012376,              0.0012376
                      6,                0.96346,                 1.4094,                 1.3165,                0.17562,                0.83548,                0.25338,                  0.218,                0.63559,                 3.9946,                 1.0219,              0.0012335,              0.0012335,              0.0012335
                      7,                0.95632,                 1.3673,                 1.3117,                0.18466,                0.75241,                0.22161,                0.19099,                 0.6492,                 3.8377,                 1.0304,              0.0012294,              0.0012294,              0.0012294
                      8,                0.92293,                 1.2804,                 1.2766,                0.15837,                0.80154,                0.20612,                0.16987,                0.75395,                 3.0366,                  1.138,              0.0012252,              0.0012252,              0.0012252
                      9,                0.90726,                 1.2532,                 1.2739,                0.16669,                0.89583,                0.20134,                0.16684,                0.69743,                 3.8696,                 1.0876,              0.0012211,              0.0012211,              0.0012211
                     10,                 0.9307,                 1.2278,                 1.2969,                0.16518,                 0.8094,                0.18585,                0.15845,                0.70219,                 3.6932,                 1.0751,               0.001217,               0.001217,               0.001217
                     11,                0.92232,                 1.2083,                 1.2861,                0.17539,                0.85833,                0.22011,                 0.1854,                0.63658,                 3.9555,                 1.0242,              0.0012129,              0.0012129,              0.0012129
                     12,                0.89447,                 1.1755,                 1.2657,                0.17023,                0.82412,                0.22415,                0.19368,                0.61952,                 3.7008,                 1.0205,              0.0012087,              0.0012087,              0.0012087
                     13,                0.88126,                 1.1345,                 1.2554,                0.16459,                0.71657,                0.19416,                0.15724,                0.72208,                 3.6214,                 1.1177,              0.0012046,              0.0012046,              0.0012046
                     14,                0.88692,                 1.1623,                 1.2654,                0.19067,                0.73462,                0.19412,                0.16081,                 0.7294,                 3.6201,                 1.0916,              0.0012005,              0.0012005,              0.0012005
