                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3336,                 4.3119,                 4.1611,                0.00101,                0.67553,                0.00225,                 0.0007,                 3.4943,                  6.858,                 3.7967,             0.00047073,             0.00047073,             0.00047073
                      2,                 3.0562,                 3.9435,                 3.6529,                0.50607,                0.00532,                0.00298,                0.00059,                 2.9115,                 14.749,                 3.3033,             0.00094394,             0.00094394,             0.00094394
                      3,                  2.965,                 3.7289,                 3.3789,                0.51167,                0.01064,                0.00131,                0.00026,                 2.9008,                 19.144,                 3.1282,               0.001414,               0.001414,               0.001414
                      4,                 2.8127,                 3.5328,                 3.2241,                0.51629,                0.01064,                0.01281,                0.00281,                 2.5763,                 7.7686,                 2.8667,              0.0014149,              0.0014149,              0.0014149
                      5,                 2.6091,                 3.3803,                 3.0425,                0.51104,                0.05319,                 0.0066,                0.00187,                 2.3338,                 7.5036,                 2.7006,              0.0014149,              0.0014149,              0.0014149
                      6,                 2.4411,                 3.2384,                 2.8806,                0.50759,                0.06915,                0.00649,                 0.0023,                 2.3101,                 7.3043,                 2.5126,              0.0014101,              0.0014101,              0.0014101
                      7,                  2.336,                  3.137,                 2.7321,                0.50822,                0.01064,                0.00402,                 0.0012,                 2.2438,                 6.6508,                 2.4515,              0.0014054,              0.0014054,              0.0014054
                      8,                 2.2275,                 3.0556,                   2.65,                0.52403,                0.14362,                0.01542,                 0.0042,                 2.0656,                 5.4112,                 2.3629,              0.0014007,              0.0014007,              0.0014007
                      9,                 2.1901,                 3.0038,                 2.5718,                0.51237,                0.07979,                0.01376,                0.00429,                 2.1088,                 7.0843,                 2.3698,               0.001396,               0.001396,               0.001396
                     10,                 2.0774,                 2.8403,                 2.4457,                0.52286,                0.05319,                0.04241,                0.02241,                 1.9856,                 4.3103,                 2.3117,              0.0013913,              0.0013913,              0.0013913
                     11,                 2.0223,                 2.7626,                 2.3918,                0.54096,                0.05319,                0.02175,                0.00799,                 1.9959,                 5.0835,                 2.2922,              0.0013866,              0.0013866,              0.0013866
                     12,                 2.0028,                 2.6899,                 2.3558,                0.55578,                0.06383,                0.03883,                0.01889,                 1.9019,                 4.1672,                 2.2162,              0.0013818,              0.0013818,              0.0013818
